"","Property_type","City","Country","Detail_clean","Bed_count","Final_price","Discount","Start_date","End_date","Duration_days","Nb_reviews","Rating","Location_full"
"699","Room","Khlong Ton Sai","Thailand","Hidden Oasis Bangkok 1 Near ICONSIAM",1,28,FALSE,2023-07-02,2023-07-07,5,166,4.86,"Khlong Ton Sai, Khlong San, Thailand"
"700","Home","Tambon Bo Put","Thailand","Directly on the beach-for animal lovers only",1,144,FALSE,2023-06-01,2023-06-06,5,27,5,"Tambon Bo Put, Thailand"
"701","Place to stay","Kamala","Thailand","Maphrao in Kamala, accommodation on the beach",1,49,FALSE,2023-06-03,2023-06-10,7,37,4.89,"Kamala, Thailand"
"702","Room","El Nido","Philippines","A Divers Home beachfront room with sunset view",1,34,FALSE,2023-06-26,2023-07-02,6,98,4.89,"El Nido, Philippines"
"703","Tiny home","Millersburg","US","Forest Haven - Otium",1,224,FALSE,2023-05-01,2023-05-06,5,218,4.85,"Millersburg"
"704","Treehouse","Crane Hill","US","WANDERLUST TREEHOUSE Book an experience!",1,402,FALSE,2023-05-01,2023-05-06,5,271,4.99,"Crane Hill"
"705","Home","Telluride","US","Architectural Masterpiece Best View in Telluride",5,732,FALSE,2023-05-01,2023-05-06,5,76,4.97,"Telluride"
"706","Cabin","West Farmington","US","The Triangle A-Frame Cabin for your city retreat",4,123,FALSE,2023-05-01,2023-05-06,5,515,4.91,"West Farmington"
"707","Cabin","Crosby","US","Cozy Louise Cabin - Direct Cuyuna MTB AccessSauna",2,225,FALSE,2023-05-01,2023-05-06,5,18,5,"Crosby"
"708","Cabin","Hancock","US","A-frame cabin by the bay with kayak!",2,230,FALSE,2023-05-01,2023-05-06,5,128,4.88,"Hancock"
"709","Tiny home","Sandy Valley","US","Peacock Tiny House near Las Vegas",2,155,FALSE,2023-05-01,2023-05-06,5,744,4.92,"Sandy Valley"
"710","Cabin","Fredericksburg","US","Peach Log CabinHot TubRomanticClose to Town!",1,292,FALSE,2023-05-01,2023-05-06,5,244,4.97,"Fredericksburg"
